Time (s),Force (N),Displacement (mm),Strain,Stress (MPa)
14.878,0.26102500000000217,0.32335875000000003,0.01293435,1.4186141304347943
14.928,0.31146250000000214,0.334955,0.0133982,1.6927309782608813
14.978,0.36190000000000216,0.34675625,0.013870249999999999,1.9668478260869684
15.028,0.4156375000000022,0.3587625,0.014350499999999999,2.258899456521751
15.078,0.4693750000000022,0.37097375,0.01483895,2.550951086956534
15.128,0.5247875000000022,0.38339,0.0153356,2.8521059782608815
24.032,0.5165000000000022,0.43215125,0.01728605,2.807065217391316
24.082,0.5081875000000022,0.48111750000000003,0.0192447,2.761888586956534
24.132,0.49001250000000224,0.53028875,0.02121155,2.6631114130434903
24.182,0.47183750000000224,0.57966,0.0231864,2.564334239130447
24.232,0.4534750000000022,0.62923625,0.025169450000000003,2.4645380434782727
24.282,0.4350875000000022,0.6790174999999999,0.027160699999999996,2.3646059782608813
24.332,0.4165375000000022,0.7290037500000001,0.029160150000000003,2.2637907608695773
24.382,0.3979750000000022,0.779195,0.0311678,2.1629076086956642
24.432,0.37926250000000217,0.82959125,0.03318365,2.0612092391304464
24.482,0.36056250000000223,0.8801875000000001,0.0352075,1.9595788043478382
24.532,0.3415875000000022,0.93098875,0.03723955,1.856453804347838
24.582,0.3226500000000022,0.9819950000000001,0.039279800000000004,1.7535326086956642
24.632,0.3034875000000022,1.0332062499999999,0.04132825,1.6493885869565337
24.682,0.28432500000000216,1.0846225,0.043384900000000004,1.5452445652174032
24.732,0.26503750000000215,1.1362375,0.045449500000000004,1.4404211956521855
24.782,0.24575000000000213,1.1880575,0.047522299999999996,1.335597826086968
24.832,0.2263625000000021,1.2400825,0.049603299999999996,1.2302309782608811
24.882,0.2069625000000021,1.2923125,0.0516925,1.1247961956521855
24.932,0.18751250000000214,1.3447475,0.0537899,1.019089673913055
24.982,0.16807500000000214,1.39722875,0.05588915,0.9134510869565334
25.032,0.14863750000000214,1.449705,0.057988200000000004,0.8078125000000117
25.082,0.12920000000000215,1.50218125,0.06008725,0.70217391304349
25.132,0.10971250000000214,1.55466375,0.06218655,0.5962635869565334
25.182,0.08990000000000212,1.60714625,0.06428585,0.48858695652175066
25.232,0.07005000000000211,1.65962875,0.06638515,0.38070652173914193
25.282,0.0484750000000021,1.71211125,0.06848445,0.26345108695653313
25.332,0.026787500000002108,1.7645887500000002,0.07058355000000001,0.14558423913044624
25.382,0.0020375000000021235,1.8170662499999999,0.07268265,0.011073369565228933
25.432,-0.022762499999997875,1.8695487499999999,0.07478195,-0.12370923913042324
25.482,-0.05098749999999789,1.9220312499999999,0.07688125,-0.2771059782608581
25.532,-0.0792124999999979,1.9745137499999998,0.07898055,-0.4305027173912929
25.582,-0.11022499999999788,2.02699625,0.08107985,-0.5990489130434667
25.632,-0.1413124999999979,2.0794725,0.0831789,-0.7680027173912929
25.682,-0.17476249999999788,2.13194875,0.08527794999999999,-0.9497961956521624
25.732,-0.2082374999999979,2.1844312500000003,0.08737725000000002,-1.1317255434782496
25.782,-0.24408749999999788,2.2369125,0.0894765,-1.3265624999999885
25.832,-0.2799874999999979,2.289395,0.0915758,-1.5216711956521625
25.882,-0.3183374999999979,2.3418775,0.0936751,-1.7300951086956406
25.932,-0.3567874999999979,2.3943537499999996,0.09577414999999999,-1.9390624999999888
25.982,-0.3976374999999979,2.44683,0.0978732,-2.161073369565206
26.032,-0.4385124999999979,2.49930625,0.09997225,-2.383220108695641
26.082,-0.48137499999999794,2.5517825,0.10207129999999999,-2.6161684782608585
26.132,-0.5242499999999979,2.60425875,0.10417035000000001,-2.8491847826086842
26.183,-0.5688499999999979,2.656735,0.1062694,-3.0915760869565103
26.233,-0.6133624999999979,2.70921125,0.10836845,-3.3334918478260755
26.283,-0.659687499999998,2.76169375,0.11046775,-3.585258152173902
26.333,-0.7060749999999979,2.8141749999999996,0.11256699999999999,-3.8373641304347714
26.383,-0.7562374999999979,2.8666562499999997,0.11466624999999998,-4.109986413043467
26.433,-0.806387499999998,2.9191387499999997,0.11676554999999998,-4.382540760869555
26.483,-0.858399999999998,2.971615,0.1188646,-4.6652173913043375
26.533,-0.910362499999998,3.02409125,0.12096365,-4.947622282608685
26.583,-0.9639249999999979,3.07657375,0.12306295,-5.238722826086946
26.633,-1.017387499999998,3.12905625,0.12516225,-5.529279891304337
26.683,-1.072337499999998,3.18153875,0.12726155,-5.827921195652163
26.733,-1.127237499999998,3.23402125,0.12936085,-6.126290760869554
26.783,-1.1837374999999979,3.28649875,0.13145995,-6.433355978260858
26.833,-1.240212499999998,3.3389762499999995,0.13355904999999998,-6.740285326086945
26.883,-1.298437499999998,3.3914587499999995,0.13565834999999998,-7.056725543478249
26.933,-1.356562499999998,3.4439412500000004,0.13775765,-7.372622282608685
26.983,-1.4161249999999979,3.4964237500000004,0.13985695,-7.696331521739119
27.033,-1.475549999999998,3.5489062500000004,0.14195625,-8.019293478260858
27.083,-1.536099999999998,3.6013824999999997,0.1440553,-8.34836956521738
27.133,-1.596624999999998,3.65385875,0.14615435,-8.677309782608685
27.183,-1.658574999999998,3.70634125,0.14825365,-9.01399456521738
27.233,-1.720487499999998,3.75882375,0.15035294999999999,-9.35047554347825
27.283,-1.784012499999998,3.81130625,0.15245224999999998,-9.69572010869564
27.333,-1.8475124999999981,3.86378875,0.15455154999999998,-10.040828804347816
27.383,-1.912074999999998,3.916265,0.1566506,-10.391711956521728
27.433,-1.976662499999998,3.96874125,0.15874965,-10.742730978260859
27.483,-2.0421624999999977,4.0212175000000006,0.1608487,-11.098709239130422
27.533,-2.107624999999998,4.0736937499999994,0.16294774999999997,-11.454483695652163
27.583,-2.174437499999998,4.12617,0.1650468,-11.817595108695642
27.634,-2.241187499999998,4.17864625,0.16714584999999998,-12.180366847826075
27.684,-2.309399999999998,4.2311225,0.16924489999999998,-12.551086956521727
27.734,-2.377612499999998,4.283605,0.17134419999999997,-12.92180706521738
27.784,-2.447324999999998,4.336086249999999,0.17344344999999997,-13.300679347826076
27.834,-2.5169624999999978,4.38856875,0.17554275,-13.679144021739118
27.884,-2.5899499999999978,4.44105125,0.17764205,-14.075815217391293
27.934,-2.662837499999998,4.4935275,0.1797411,-14.471942934782598
27.984,-2.737374999999998,4.54600375,0.18184014999999998,-14.87703804347825
28.034,-2.748212499999998,4.56234,0.1824936,-14.935937499999989
28.084,-2.7590499999999976,4.57867625,0.18314705,-14.994836956521727
28.134,-2.7600999999999978,4.5950125,0.1838005,-15.000543478260857
