0,0
0,0
0.016522,0
0.033913,0
0.048696,0
0.064348,0
0.082609,0
0.1,0
0.115652,0
0.131304,0
0.147826,0
0.166087,0
0.183478,0
0.198261,0
0.213913,0
0.231304,0
0.249565,0
0.266087,0
0.28087,0
0.297391,0
0.314783,0
0.333043,0
0.348696,0
0.364348,0
0.38087,0
0.39913,0
0.415652,0
0.431304,0
0.446957,0
0.464348,0
0.482609,0
0.49913,0
0.513913,0
0.530435,0
0.547826,0
0.566087,0
0.581739,0
0.596522,0
0.613043,0
0.631304,0
0.648696,0
0.664348,0
0.68,0
0.696522,0
0.715652,0
0.732174,0
0.746957,0
0.762609,0
0.78087,0
0.79913,0
0.814783,0
0.829565,0
0.846957,0
0.865217,0
0.882609,0
0.897391,0
0.913043,0
0.930435,0
0.949565,0
0.965217,0
0.98087,0
0.996522,0
1.014783,0
1.033043,0
1.047826,0
1.063478,0
1.08,0
1.09913,0
1.115652,0
1.131304,0
1.146957,0
1.164348,0
1.182609,0
1.19913,0
1.213913,0
1.230435,0
1.248696,0
1.266087,0
1.281739,0
1.297391,0
1.313913,0
1.332174,0
1.348696,0
1.364348,0
1.38,0
1.397391,0
1.415652,0
1.432174,0
1.446957,0
1.464348,0
1.481739,0
1.5,0
1.514783,0
1.530435,0
1.547826,0
1.566087,0
1.582609,0
1.598261,0
1.613913,0
1.631304,0
1.649565,0
1.666087,0
1.68087,0
1.697391,0
1.715652,0
1.733044,0
1.748696,0
1.764348,0
1.78087,0
1.8,0
1.816522,0
1.831304,0
1.847826,0
1.865217,0
1.883478,0
1.89913,0
1.914783,0
1.931304,0
1.949565,0
1.966957,0
1.982609,0
1.997391,0
2.014783,0
2.033913,0
2.050435,0
2.065217,0
2.081739,0
2.09913,0
2.117391,0
2.133044,0
2.147826,0
2.165217,0
2.183478,0
2.200869,0
2.215652,0
2.231304,0
2.248696,0
2.266957,0
2.283478,0
2.29913,0
2.314783,0
2.333044,0
2.350435,0
2.366956,0
2.381739,0
2.39913,0
2.416522,0
2.434783,0
2.449565,0
2.465217,0
2.482609,0
2.50087,0
2.517391,0
2.533044,0
2.548696,0
2.566956,0
2.584348,0
2.60087,0
2.615652,0
2.632174,0
2.650435,0
2.667826,0
2.683478,0
2.699131,0
2.716522,0
2.734783,0
2.751304,0
2.766087,0
2.782609,0
2.80087,0
2.818261,0
2.833913,0
2.849565,0
2.866087,0
2.885217,0
2.901739,0
2.917391,0
2.933043,0
2.950435,0
2.968696,0
2.985217,0
3,0
3.016522,0
3.034783,0
3.053043,0
3.067826,0
3.083478,0
3.1,0
3.11913,0
3.135652,0
3.151304,0
3.166956,0
3.184348,0
3.202609,0
3.218261,0
3.233913,0
