Time (s),Force (N),Displacement (mm),Strain,Stress (MPa)
32.046,0.29100000000000004,4.47972,0.0,0.0
32.467,0.254,4.5316600000000005,0.0,0.0
32.517,0.23979999999999996,4.58454,0.0,0.0
32.937,0.2234,4.63666,0.0,0.0
32.987,0.21739999999999998,4.68954,0.0,0.0
33.408,0.2102,4.74166,0.0,0.0
33.458,0.2068,4.79454,0.0,0.0
33.878,0.1998,4.83692,0.0,0.0
33.931,0.195,4.86918,0.0,0.0
34.35,0.184,4.89056,0.0,0.0
34.401,0.1742,4.901819999999999,0.0,0.0
34.82,0.1594,4.9022,0.0,0.0
34.872,0.1482,4.9022,0.0,0.0
35.291,0.1348,4.9022,0.0,0.0
35.342,0.1276,4.9022,0.0,0.0
35.761,0.11779999999999999,4.9022,0.0,0.0
35.813,0.11299999999999999,4.9022,0.0,0.0
36.232,0.1068,4.9022,0.0,0.0
36.283,0.1028,4.9022,0.0,0.0
36.702,0.0988,4.9022,0.0,0.0
36.754,0.0974,4.9022,0.0,0.0
37.173,0.0958,4.9022,0.0,0.0
37.224,0.09559999999999999,4.9022,0.0,0.0
37.643,0.09459999999999999,4.9022,0.0,0.0
37.695,0.09359999999999999,4.9022,0.0,0.0
38.114,0.09159999999999999,4.9022,0.0,0.0
38.165,0.08979999999999999,4.9022,0.0,0.0
38.584,0.0874,4.9022,0.0,0.0
38.636,0.0858,4.9022,0.0,0.0
39.055,0.08399999999999999,4.9022,0.0,0.0
39.106,0.08320000000000001,4.9022,0.0,0.0
39.525,0.0814,4.9022,0.0,0.0
39.576,0.08020000000000001,4.9022,0.0,0.0
39.996,0.07880000000000001,4.9022,0.0,0.0
40.047,0.0776,4.9022,0.0,0.0
40.466,0.0756,4.9022,0.0,0.0
40.517,0.0746,4.9022,0.0,0.0
40.937,0.07339999999999999,4.9022,0.0,0.0
40.988,0.07239999999999999,4.9022,0.0,0.0
41.407,0.07139999999999999,4.9022,0.0,0.0
41.458,0.0712,4.9022,0.0,0.0
41.878,0.0702,4.9022,0.0,0.0
41.929,0.06939999999999999,4.9022,0.0,0.0
42.348,0.06799999999999999,4.9022,0.0,0.0
42.399,0.0666,4.9022,0.0,0.0
42.819,0.0648,4.9022,0.0,0.0
42.87,0.0638,4.9022,0.0,0.0
43.289,0.0622,4.9022,0.0,0.0
43.34,0.0612,4.9022,0.0,0.0
43.76,0.0598,4.9022,0.0,0.0
43.811,0.0588,4.9022,0.0,0.0
44.23,0.05739999999999999,4.9022,0.0,0.0
44.281,0.056600000000000004,4.9022,0.0,0.0
44.701,0.055200000000000006,4.9022,0.0,0.0
44.752,0.054200000000000005,4.9022,0.0,0.0
45.171,0.048,4.9022,0.0,0.0
45.222,0.0422,4.9022,0.0,0.0
45.642,0.045200000000000004,4.9022,0.0,0.0
45.693,0.048799999999999996,4.9022,0.0,0.0
46.112,0.032600000000000004,4.9022,0.0,0.0
46.163,0.0216,4.9022,0.0,0.0
46.583,0.0024000000000000007,4.9022,0.0,0.0
46.634,-0.0256,4.9022,0.0,0.0
47.053,-0.05,4.9022,0.0,0.0
47.104,-0.0546,4.9022,0.0,0.0
47.524,-0.05720000000000001,4.9022,0.0,0.0
47.576,-0.0516,4.9022,0.0,0.0
47.994,-0.045200000000000004,4.9022,0.0,0.0
48.046,-0.0424,4.9022,0.0,0.0
48.465,-0.038400000000000004,4.9022,0.0,0.0
