Time (s),Force (N),Displacement (mm),Strain,Stress (MPa)
0.701,-1.7605333333333333,0.10194,0.003398,-6.70679365079365
0.751,-1.7598666666666667,0.11640666666666667,0.0038802222222222224,-6.704253968253968
0.801,-1.7602666666666666,0.13087333333333334,0.004362444444444445,-6.705777777777778
0.851,-1.7615333333333332,0.14534666666666668,0.004844888888888889,-6.710603174603174
0.901,-1.7628,0.15981333333333334,0.0053271111111111115,-6.71542857142857
0.951,-1.7641333333333333,0.17428,0.005809333333333333,-6.7205079365079365
1.001,-1.7654666666666665,0.18872,0.006290666666666667,-6.725587301587301
1.051,-1.7664,0.20315333333333332,0.006771777777777778,-6.729142857142857
1.101,-1.7673333333333332,0.21758666666666668,0.0072528888888888894,-6.7326984126984115
1.151,-1.768,0.23206000000000002,0.007735333333333334,-6.735238095238095
1.201,-1.7686666666666668,0.24652666666666667,0.008217555555555556,-6.7377777777777785
1.251,-1.769,0.26099333333333335,0.008699777777777778,-6.739047619047619
1.301,-1.7693333333333332,0.2754333333333333,0.00918111111111111,-6.74031746031746
1.351,-1.7702666666666667,0.28986666666666666,0.009662222222222221,-6.743873015873016
1.401,-1.7711999999999999,0.30430666666666667,0.010143555555555555,-6.74742857142857
1.451,-1.7720666666666667,0.31877333333333335,0.010625777777777779,-6.750730158730159
1.501,-1.7720666666666667,0.33324,0.011108,-6.750730158730159
1.552,-1.7717333333333334,0.3477133333333333,0.011590444444444443,-6.749460317460318
1.602,-1.7708666666666666,0.36218000000000006,0.012072666666666669,-6.746158730158729
1.652,-1.77,0.3766466666666667,0.01255488888888889,-6.742857142857143
1.702,-1.7696666666666665,0.39112,0.013037333333333335,-6.741587301587301
1.752,-1.7693333333333332,0.40562,0.013520666666666665,-6.74031746031746
1.802,-1.7691333333333332,0.42012,0.014003999999999999,-6.739555555555555
1.852,-1.7689333333333332,0.43459333333333333,0.014486444444444444,-6.73879365079365
1.902,-1.7681333333333333,0.44906,0.014968666666666667,-6.735746031746031
1.952,-1.7673333333333332,0.4635266666666667,0.01545088888888889,-6.7326984126984115
2.002,-1.7664666666666666,0.478,0.015933333333333334,-6.729396825396825
2.052,-1.7655999999999998,0.4925,0.016416666666666666,-6.726095238095237
2.102,-1.7647333333333333,0.507,0.016900000000000002,-6.72279365079365
2.152,-1.7638666666666665,0.5214666666666666,0.017382222222222223,-6.719492063492062
2.202,-1.7627333333333333,0.5359333333333333,0.017864444444444443,-6.715174603174603
2.252,-1.7626666666666666,0.5504066666666667,0.018346888888888892,-6.7149206349206345
2.302,-1.7626,0.5648733333333333,0.018829111111111112,-6.714666666666666
2.352,-1.7616666666666667,0.5793400000000001,0.019311333333333337,-6.711111111111111
2.402,-1.7607333333333333,0.5938133333333333,0.019793777777777778,-6.707555555555555
2.452,-1.7598666666666667,0.6082466666666666,0.020274888888888887,-6.704253968253968
2.502,-1.759,0.62268,0.020756,-6.70095238095238
2.552,-1.7593333333333334,0.63712,0.021237333333333334,-6.702222222222222
2.602,-1.7596666666666667,0.6515866666666666,0.021719555555555554,-6.703492063492063
2.652,-1.7604666666666666,0.6660533333333334,0.02220177777777778,-6.706539682539682
2.702,-1.7612666666666668,0.6805266666666667,0.022684222222222224,-6.709587301587302
2.752,-1.7615333333333332,0.69496,0.023165333333333333,-6.710603174603174
2.802,-1.7618,0.7094,0.023646666666666667,-6.711619047619047
2.852,-1.7612666666666668,0.7238399999999999,0.024127999999999997,-6.709587301587302
2.902,-1.7607333333333333,0.7383066666666667,0.02461022222222222,-6.707555555555555
2.952,-1.7604,0.75278,0.025092666666666666,-6.7062857142857135
3.003,-1.7597333333333334,0.7672466666666667,0.02557488888888889,-6.703746031746031
3.053,-1.7590666666666666,0.7817133333333334,0.02605711111111111,-6.701206349206348
3.103,-1.7591333333333334,0.7961866666666667,0.026539555555555556,-6.701460317460318
3.153,-1.7591999999999999,0.8106533333333333,0.027021777777777777,-6.701714285714285
3.203,-1.7587333333333333,0.8251533333333333,0.02750511111111111,-6.699936507936507
3.253,-1.7582666666666666,0.8396600000000001,0.02798866666666667,-6.69815873015873
3.303,-1.7563333333333333,0.8541266666666666,0.028470888888888886,-6.69079365079365
3.353,-1.7544,0.8685933333333333,0.02895311111111111,-6.683428571428571
3.403,-1.7522666666666666,0.8830666666666667,0.029435555555555555,-6.675301587301587
3.453,-1.7501333333333333,0.8975333333333334,0.02991777777777778,-6.667174603174603
3.503,-1.7485333333333335,0.9120333333333334,0.03040111111111111,-6.661079365079366
3.553,-1.7469333333333334,0.9265333333333333,0.030884444444444444,-6.654984126984127
3.603,-1.7457333333333334,0.9410000000000001,0.03136666666666667,-6.6504126984126986
3.653,-1.7445333333333333,0.9554733333333334,0.03184911111111111,-6.645841269841269
3.703,-1.7433333333333334,0.96994,0.03233133333333334,-6.641269841269842
3.753,-1.7425333333333335,0.9844066666666667,0.032813555555555554,-6.638222222222223
3.803,-1.7417333333333334,0.99888,0.033296,-6.635174603174603
3.853,-1.7410666666666665,1.0133466666666666,0.03377822222222222,-6.63263492063492
