Time (s),Force (N),Displacement (mm),Strain,Stress (MPa)
2.012,1.00105,0.0,0.0,0.13347333333333333
2.063,0.994375,0.0,0.0,0.13258333333333333
2.115,0.9876999999999999,0.0,0.0,0.13169333333333333
2.166,0.9845,0.0,0.0,0.13126666666666667
2.217,0.9813000000000001,0.0,0.0,0.13084
2.27,0.978175,0.0,0.0,0.13042333333333334
2.321,0.9750500000000001,0.0,0.0,0.1300066666666667
2.373,0.97205,0.0,0.0,0.12960666666666668
2.424,0.96905,0.0,0.0,0.12920666666666666
2.475,0.966075,0.0,0.0,0.12881
2.527,0.9631000000000001,0.0,0.0,0.12841333333333335
2.579,0.9604250000000001,0.0,0.0,0.12805666666666668
2.63,0.9577500000000001,0.0,0.0,0.1277
2.682,0.954375,0.0,0.0,0.12725
2.733,0.951,0.0,0.0,0.1268
2.785,0.9478249999999999,0.0,0.0,0.12637666666666666
2.836,0.94465,0.0,0.0,0.12595333333333333
2.888,0.94155,0.0,0.0,0.12554
2.939,0.9384499999999999,0.0,0.0,0.12512666666666666
2.991,0.9352,0.0,0.0,0.12469333333333334
3.043,0.93195,0.0,0.0,0.12426
3.094,0.928825,0.0,0.0,0.12384333333333333
3.146,0.9257,0.0,0.0,0.12342666666666666
3.197,0.9218500000000001,0.0,0.0,0.12291333333333335
3.249,0.9179999999999999,0.0,0.0,0.1224
3.301,0.9148249999999999,0.0,0.0,0.12197666666666665
3.352,0.9116500000000001,0.0,0.0,0.12155333333333335
3.404,0.9069499999999999,0.0,0.0,0.12092666666666665
3.455,0.9022500000000001,0.0,0.0,0.12030000000000002
3.507,0.8980499999999999,0.0,0.0,0.11973999999999999
3.558,0.8938499999999999,0.0,0.0,0.11918
3.61,0.891025,0.0,0.0,0.11880333333333333
3.661,0.8882,0.0,0.0,0.11842666666666667
3.713,0.885425,0.0,0.0,0.11805666666666667
3.765,0.8826499999999999,0.0,0.0,0.11768666666666666
3.816,0.879875,0.0,0.0,0.11731666666666667
3.867,0.8771000000000001,0.0,0.0,0.11694666666666668
3.919,0.8745499999999999,0.0,0.0,0.11660666666666666
3.97,0.8720000000000001,0.0,0.0,0.11626666666666668
4.023,0.868925,0.0,0.0,0.11585666666666666
4.074,0.86585,0.0,0.0,0.11544666666666667
4.125,0.862025,0.0,0.0,0.11493666666666667
4.177,0.8582000000000001,0.0,0.0,0.11442666666666668
4.228,0.8552500000000001,0.0,0.0,0.11403333333333335
4.28,0.8523,0.0,0.0,0.11363999999999999
4.332,0.8494999999999999,0.0,0.0,0.11326666666666665
4.383,0.8467,0.0,0.0,0.11289333333333333
4.435,0.844,0.0,0.0,0.11253333333333333
4.487,0.8413,0.0,0.0,0.11217333333333333
