Time (s),Force (N),Displacement (mm),Strain,Stress (MPa)
0.206,0.0,0.0,0.0,0.0
0.257,0.0,0.0,0.0,0.0
0.308,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.0
0.411,0.0,0.0,0.0,0.0
0.462,0.0,0.0,0.0,0.0
0.889,-4.9052,0.0,0.0,0.0
0.941,-9.8104,0.0,0.0,0.0
1.36,-14.7156,0.0,0.0,0.0
1.411,-19.6208,0.0,0.0,0.0
1.831,-24.525399999999998,0.0,0.0,0.0
1.882,-24.5248,0.0,0.0,0.0
2.301,-24.5244,0.00618,0.0,0.0
2.351,-24.524,0.02362,0.0,0.0
2.772,-24.5236,0.051000000000000004,0.0,0.0
2.822,-24.5238,0.08962,0.0,0.0
3.242,-24.524,0.13818,0.0,0.0
3.292,-24.524,0.19161999999999998,0.0,0.0
3.713,-24.5242,0.24373999999999998,0.0,0.0
3.763,-24.5244,0.29718,0.0,0.0
4.183,-24.5244,0.34912,0.0,0.0
4.233,-24.5244,0.40218,0.0,0.0
4.654,-24.5242,0.45411999999999997,0.0,0.0
4.705,-24.5238,0.50738,0.0,0.0
5.124,-24.523400000000002,0.55912,0.0,0.0
5.175,-24.5232,0.61218,0.0,0.0
5.595,-24.5236,0.6641199999999999,0.0,0.0
5.645,-24.5242,0.717,0.0,0.0
6.065,-24.5244,0.76874,0.0,0.0
6.115,-24.5246,0.82162,0.0,0.0
6.536,-24.5242,0.87356,0.0,0.0
6.586,-24.5232,0.92662,0.0,0.0
7.007,-24.5222,0.9789200000000001,0.0,0.0
7.057,-24.5216,1.0321799999999999,0.0,0.0
7.477,-24.5208,1.08468,0.0,0.0
7.527,-24.5206,1.13812,0.0,0.0
7.949,-24.5206,1.19062,0.0,0.0
7.999,-24.5206,1.24444,0.0,0.0
8.419,-24.5212,1.29712,0.0,0.0
8.469,-24.522,1.35092,0.0,0.0
8.89,-24.522399999999998,1.4036000000000002,0.0,0.0
8.94,-24.5226,1.4576,0.0,0.0
9.36,-24.523,1.5101,0.0,0.0
9.41,-24.5228,1.56392,0.0,0.0
9.831,-24.5216,1.6164200000000002,0.0,0.0
9.881,-24.5208,1.6702400000000002,0.0,0.0
10.301,-24.5198,1.72256,0.0,0.0
10.351,-24.5186,1.77618,0.0,0.0
10.772,-24.5184,1.82848,0.0,0.0
10.822,-24.5192,1.88212,0.0,0.0
11.242,-24.519799999999996,1.9342400000000002,0.0,0.0
11.292,-24.520599999999998,1.98768,0.0,0.0
11.713,-24.520400000000002,2.0398199999999997,0.0,0.0
11.763,-24.5192,2.09326,0.0,0.0
12.183,-24.517599999999998,2.1453800000000003,0.0,0.0
12.233,-24.516199999999998,2.19882,0.0,0.0
12.654,-24.514599999999998,2.25094,0.0,0.0
12.704,-24.514,2.30436,0.0,0.0
13.124,-24.5136,2.35648,0.0,0.0
13.174,-24.5136,2.40972,0.0,0.0
13.595,-24.5134,2.46184,0.0,0.0
13.645,-24.5134,2.5152799999999997,0.0,0.0
14.065,-24.5132,2.56742,0.0,0.0
14.115,-24.512800000000002,2.62068,0.0,0.0
14.536,-24.5122,2.67282,0.0,0.0
14.586,-24.5118,2.72626,0.0,0.0
15.007,-24.511000000000003,2.77838,0.0,0.0
15.057,-24.510399999999997,2.8318199999999996,0.0,0.0
15.477,-24.5096,2.88394,0.0,0.0
15.527,-24.509,2.93738,0.0,0.0
15.948,-24.508,2.9895199999999997,0.0,0.0
15.998,-24.5074,3.04296,0.0,0.0
16.418,-24.5064,3.0949,0.0,0.0
16.468,-24.5056,3.14834,0.0,0.0
16.889,-24.5054,3.2004599999999996,0.0,0.0
16.939,-24.5056,3.25388,0.0,0.0
17.359,-24.5056,3.3058199999999998,0.0,0.0
17.409,-24.506,3.35924,0.0,0.0
17.83,-24.5062,3.4113599999999997,0.0,0.0
17.88,-24.5058,3.4647999999999994,0.0,0.0
18.3,-24.505000000000003,3.51674,0.0,0.0
18.35,-24.504399999999997,3.5701799999999997,0.0,0.0
18.771,-24.5042,3.6223199999999998,0.0,0.0
18.821,-24.5042,3.6757599999999995,0.0,0.0
19.241,-24.503,3.7277,0.0,0.0
19.291,-24.5022,3.7811399999999997,0.0,0.0
19.712,-24.500799999999998,3.83326,0.0,0.0
19.762,-24.499,3.88688,0.0,0.0
20.182,-24.4972,3.939,0.0,0.0
20.232,-24.496599999999997,3.9924399999999998,0.0,0.0
20.653,-24.496599999999997,4.04456,0.0,0.0
20.703,-24.4972,4.098,0.0,0.0
21.123,-24.4974,4.1497399999999995,0.0,0.0
21.173,-24.4976,4.2028,0.0,0.0
21.594,-24.4978,4.25472,0.0,0.0
21.644,-24.4974,4.3076,0.0,0.0
22.064,-24.497,4.35934,0.0,0.0
22.114,-24.497,4.41222,0.0,0.0
22.535,-24.497,4.46416,0.0,0.0
22.585,-24.497,4.51704,0.0,0.0
23.005,-24.4974,4.56916,0.0,0.0
23.055,-24.4978,4.62204,0.0,0.0
23.476,-24.4982,4.67416,0.0,0.0
23.526,-24.4986,4.727040000000001,0.0,0.0
23.946,-24.4976,4.77916,0.0,0.0
23.996,-24.496199999999998,4.83204,0.0,0.0
24.418,-24.494,4.88416,0.0,0.0
24.468,-24.4918,4.93722,0.0,0.0
24.889,-24.4894,4.98916,0.0,0.0
24.939,-24.4884,5.04222,0.0,0.0
25.359,-24.4868,5.0941600000000005,0.0,0.0
25.409,-24.486,5.14704,0.0,0.0
25.83,-24.484,5.1988,0.0,0.0
25.88,-24.4822,5.252039999999999,0.0,0.0
26.3,-24.4798,5.3038,0.0,0.0
26.35,-24.478,5.356859999999999,0.0,0.0
26.771,-24.475600000000004,5.4088,0.0,0.0
26.821,-24.474400000000003,5.46204,0.0,0.0
27.241,-24.4724,5.5138,0.0,0.0
